time,Phi,dPhi_dt,Energy,Fragmentation,Ricci,Betti1,PermEntropy
186.0,0.222,-0.078,7.389,11.24,2.0,10.0,0.65
188.0,0.223,0.006,5.344,4.6,-4.71,10.0,0.64
190.0,0.219,-0.068,7.389,8.1,-2.229,11.0,0.63
192.0,0.216,-0.057,7.389,8.41,-1.952,11.0,0.63
194.0,0.214,-0.049,7.389,8.35,-2.184,11.0,0.59
196.0,0.212,-0.041,7.389,9.54,-0.91,11.0,0.61
198.0,0.21,-0.035,7.389,6.23,-0.126,7.0,0.63
200.0,0.208,-0.03,7.389,8.94,-2.467,12.0,0.62
202.0,0.207,-0.025,7.389,9.35,-0.987,11.0,0.63
204.0,0.206,-0.022,7.389,10.26,-3.008,14.0,0.65
206.0,0.205,-0.018,7.389,7.56,-3.621,12.0,0.66
208.0,0.204,-0.016,7.389,9.46,-0.678,11.0,0.67
210.0,0.204,-0.013,7.389,7.25,-1.009,9.0,0.65
212.0,0.203,-0.011,7.389,6.22,-3.113,10.0,0.63
214.0,0.203,-0.01,7.389,10.58,-0.787,12.0,0.63
216.0,0.202,-0.008,7.389,12.66,0.385,13.0,0.65
218.0,0.202,-0.007,7.389,9.46,-0.859,11.0,0.64
220.0,0.202,-0.006,7.389,8.62,0.358,9.0,0.65
222.0,0.212,0.201,2.736,2.54,-2.652,6.0,0.66
224.0,0.21,-0.035,7.389,9.38,0.1,10.0,0.64
226.0,0.208,-0.03,7.389,8.43,-0.983,10.0,0.62
228.0,0.207,-0.025,7.389,8.36,-0.974,10.0,0.63
230.0,0.206,-0.022,7.389,11.32,-0.944,13.0,0.65
232.0,0.205,-0.018,7.389,13.09,-2.074,16.0,0.67
234.0,0.204,-0.016,7.389,14.02,-1.206,16.0,0.65
236.0,0.204,-0.013,7.389,11.21,-1.044,13.0,0.65
238.0,0.203,-0.011,7.389,8.95,-1.352,11.0,0.64
240.0,0.206,0.053,5.467,4.38,-4.862,10.0,0.65
242.0,0.205,-0.017,7.389,8.05,-2.262,11.0,0.64
244.0,0.204,-0.015,7.389,11.26,0.007,12.0,0.65
246.0,0.204,-0.013,7.389,13.51,-1.696,16.0,0.66
248.0,0.203,-0.011,7.389,10.04,-2.177,13.0,0.66
250.0,0.203,-0.009,7.389,6.83,-2.399,10.0,0.65
252.0,0.202,-0.008,7.389,12.27,-0.084,13.0,0.63
254.0,0.202,-0.007,7.389,8.23,-2.214,11.0,0.61
256.0,0.202,-0.006,7.389,8.41,-1.031,10.0,0.61
258.0,0.201,-0.005,7.389,10.39,1.002,10.0,0.62
260.0,0.201,-0.004,7.389,12.29,-0.067,13.0,0.63
262.0,0.201,-0.003,7.389,9.21,-0.12,10.0,0.63
264.0,0.201,-0.003,7.389,11.22,0.952,11.0,0.65
266.0,0.201,0.007,7.075,5.25,-0.038,6.0,0.64
268.0,0.201,-0.003,7.389,13.01,-0.207,14.0,0.66
270.0,0.201,-0.003,7.389,9.27,-1.019,11.0,0.64
272.0,0.201,-0.002,7.389,7.01,-2.278,10.0,0.64
274.0,0.229,0.571,0.592,-1.59,-7.964,7.0,0.63
276.0,0.225,-0.087,7.389,5.47,-3.934,10.0,0.62
278.0,0.253,0.556,0.627,-1.64,-10.072,9.0,0.61
280.0,0.245,-0.158,7.389,10.55,0.084,11.0,0.61
282.0,0.238,-0.134,7.389,6.32,-3.198,10.0,0.6
284.0,0.237,-0.013,4.852,4.45,-4.001,9.0,0.61
286.0,0.232,-0.112,7.389,8.64,-3.803,13.0,0.61
288.0,0.227,-0.095,7.389,5.27,-1.157,7.0,0.61
290.0,0.223,-0.081,7.389,7.57,0.145,8.0,0.61
292.0,0.22,-0.069,7.389,6.49,-1.94,9.0,0.61
294.0,0.217,-0.059,7.389,12.55,0.07,13.0,0.6
296.0,0.219,0.038,4.943,4.36,-4.098,9.0,0.61
298.0,0.216,-0.055,7.389,5.68,-2.83,9.0,0.6
300.0,0.222,0.118,3.497,3.06,-4.336,8.0,0.62
302.0,0.218,-0.065,7.389,9.35,-1.859,12.0,0.66
304.0,0.216,-0.055,7.389,10.37,0.071,11.0,0.64
306.0,0.213,-0.046,7.389,4.78,-1.592,7.0,0.63
308.0,0.223,0.201,2.501,2.08,-2.314,5.0,0.62
310.0,0.22,-0.07,7.389,6.29,-1.053,8.0,0.63
312.0,0.217,-0.06,7.389,6.82,-2.57,10.0,0.62
314.0,0.22,0.07,4.264,4.11,-4.382,9.0,0.6
316.0,0.217,-0.061,7.389,10.38,-0.996,12.0,0.62
318.0,0.215,-0.052,7.389,11.47,0.97,11.0,0.6
320.0,0.213,-0.044,7.389,12.46,1.031,12.0,0.61
322.0,0.211,-0.038,7.389,11.98,-3.451,16.0,0.61
324.0,0.209,-0.032,7.389,6.58,0.155,7.0,0.62
326.0,0.208,-0.027,7.389,8.55,-0.901,10.0,0.61
328.0,0.207,-0.023,7.389,11.43,0.988,11.0,0.61
330.0,0.209,0.045,5.42,4.29,-3.088,8.0,0.62
332.0,0.207,-0.026,7.389,8.9,-2.431,12.0,0.63
334.0,0.206,-0.022,7.389,9.46,-0.858,11.0,0.64
336.0,0.205,-0.019,7.389,13.29,-1.998,16.0,0.64
338.0,0.205,-0.016,7.389,15.36,2.0,14.0,0.63
340.0,0.204,-0.014,7.389,7.62,-1.863,10.0,0.6
342.0,0.203,-0.012,7.389,6.59,-3.92,11.0,0.6
344.0,0.203,-0.01,7.389,5.46,-5.028,11.0,0.6
346.0,0.202,-0.008,7.389,5.61,-1.828,8.0,0.61
348.0,0.202,-0.007,7.389,10.42,0.089,11.0,0.63
350.0,0.202,-0.006,7.389,7.52,-0.872,9.0,0.62
352.0,0.201,-0.005,7.389,9.46,-1.019,11.0,0.6
354.0,0.201,-0.004,7.389,9.55,0.109,10.0,0.61
