time,Phi,dPhi_dt,Energy,Fragmentation,Ricci,Betti1,PermEntropy
818.0,0.203,-0.009,7.389,12.64,0.053,13.0,0.58
820.0,0.202,-0.008,7.389,7.76,-2.703,11.0,0.61
822.0,0.202,-0.007,7.389,13.68,1.163,13.0,0.6
824.0,0.202,-0.006,7.389,15.72,0.208,16.0,0.6
826.0,0.201,-0.005,7.389,14.79,-0.789,16.0,0.58
828.0,0.201,-0.004,7.389,14.34,-1.067,16.0,0.62
830.0,0.201,-0.004,7.389,10.38,-0.024,11.0,0.62
832.0,0.201,-0.003,7.389,10.17,-1.369,12.0,0.59
834.0,0.201,-0.003,7.389,10.94,-0.685,12.0,0.57
836.0,0.201,-0.002,7.389,9.76,-0.754,11.0,0.6
838.0,0.208,0.145,3.593,3.52,-1.982,6.0,0.6
840.0,0.207,-0.022,7.341,5.52,-3.007,9.0,0.59
842.0,0.206,-0.02,7.389,6.61,0.049,7.0,0.59
844.0,0.205,-0.017,7.389,6.86,-2.557,10.0,0.62
846.0,0.233,0.565,0.606,-1.57,-7.044,6.0,0.6
848.0,0.228,-0.1,7.389,9.65,-1.861,12.0,0.6
850.0,0.224,-0.085,7.389,8.95,-1.53,11.0,0.6
852.0,0.22,-0.072,7.389,9.27,-1.226,11.0,0.6
854.0,0.217,-0.061,7.389,13.21,-0.281,14.0,0.6
856.0,0.215,-0.052,7.389,11.11,-1.426,13.0,0.59
858.0,0.213,-0.044,7.389,7.9,-4.742,13.0,0.57
860.0,0.211,-0.037,7.389,7.46,-5.151,13.0,0.58
862.0,0.209,-0.032,7.389,6.71,-2.849,10.0,0.59
864.0,0.208,-0.027,7.389,8.34,-1.053,10.0,0.62
866.0,0.214,0.125,3.673,3.33,-0.065,4.0,0.62
868.0,0.233,0.38,1.225,0.24,-4.094,5.0,0.63
870.0,0.228,-0.098,7.389,5.51,-1.923,8.0,0.61
872.0,0.224,-0.084,7.389,13.62,-0.79,15.0,0.62
874.0,0.22,-0.071,7.389,5.67,-1.801,8.0,0.61
876.0,0.217,-0.061,7.389,5.88,-2.617,9.0,0.6
878.0,0.235,0.348,1.33,0.77,-6.687,8.0,0.61
880.0,0.229,-0.104,7.389,6.67,-0.862,8.0,0.59
882.0,0.225,-0.088,7.389,10.73,-0.826,12.0,0.59
884.0,0.221,-0.075,7.389,11.93,-1.672,14.0,0.58
886.0,0.218,-0.064,7.389,8.81,-1.693,11.0,0.6
888.0,0.215,-0.054,7.389,10.68,0.181,11.0,0.6
890.0,0.213,-0.046,7.389,8.68,-0.829,10.0,0.6
892.0,0.211,-0.039,7.389,8.53,-0.02,9.0,0.59
894.0,0.209,-0.033,7.389,10.12,-1.398,12.0,0.6
896.0,0.208,-0.028,7.389,11.31,-0.158,12.0,0.61
898.0,0.207,-0.024,7.389,8.34,-0.058,9.0,0.62
900.0,0.206,-0.02,7.389,6.73,-1.646,9.0,0.62
902.0,0.205,-0.017,7.389,8.96,-2.411,12.0,0.63
904.0,0.204,-0.015,7.389,9.45,-3.044,13.0,0.6
906.0,0.204,-0.013,7.389,9.73,-1.844,12.0,0.59
908.0,0.204,0.017,6.466,5.01,-2.634,8.0,0.57
910.0,0.204,-0.013,7.389,5.47,-1.094,7.0,0.59
912.0,0.206,0.046,5.606,4.17,-3.299,8.0,0.61
914.0,0.205,-0.018,7.389,7.95,-0.518,9.0,0.61
916.0,0.204,-0.015,7.389,8.21,-1.257,10.0,0.61
918.0,0.204,-0.013,7.389,11.47,-0.005,12.0,0.6
920.0,0.203,-0.011,7.389,9.6,-0.947,11.0,0.59
922.0,0.207,0.086,4.643,4.14,-3.439,8.0,0.58
924.0,0.206,-0.022,7.389,12.45,-1.031,14.0,0.6
926.0,0.205,-0.019,7.389,13.42,0.017,14.0,0.62
928.0,0.205,-0.016,7.389,11.54,-0.019,12.0,0.59
930.0,0.204,-0.014,7.389,9.82,-0.686,11.0,0.6
932.0,0.203,-0.012,7.389,10.71,-0.773,12.0,0.6
934.0,0.203,-0.01,7.389,8.57,-0.871,10.0,0.61
936.0,0.202,-0.008,7.389,5.76,-2.717,9.0,0.6
938.0,0.202,-0.007,7.389,9.78,-0.775,11.0,0.59
940.0,0.202,-0.006,7.389,9.68,-0.953,11.0,0.57
942.0,0.201,-0.005,7.389,12.85,0.251,13.0,0.58
944.0,0.201,-0.004,7.389,8.58,1.091,8.0,0.6
946.0,0.201,-0.004,7.389,7.84,-0.698,9.0,0.59
948.0,0.201,-0.003,7.389,12.04,-1.513,14.0,0.59
950.0,0.201,-0.003,7.389,7.44,-3.175,11.0,0.58
952.0,0.201,-0.002,7.389,5.52,-3.915,10.0,0.61
954.0,0.201,-0.002,7.389,8.52,0.128,9.0,0.62
956.0,0.21,0.19,2.917,2.63,-2.788,6.0,0.62
958.0,0.209,-0.03,7.389,8.55,-0.895,10.0,0.61
960.0,0.207,-0.026,7.389,6.94,-0.579,8.0,0.6
962.0,0.206,-0.022,7.389,7.9,-1.525,10.0,0.61
964.0,0.205,-0.019,7.389,10.43,-0.088,11.0,0.6
966.0,0.204,-0.016,7.389,6.11,-2.338,9.0,0.61
968.0,0.204,-0.013,7.389,8.16,-1.297,10.0,0.61
970.0,0.203,-0.011,7.389,8.04,-2.426,11.0,0.61
972.0,0.203,-0.01,7.389,11.23,-1.264,13.0,0.6
974.0,0.202,-0.008,7.389,11.74,0.149,12.0,0.58
976.0,0.202,-0.007,7.389,8.79,-1.805,11.0,0.58
978.0,0.202,-0.006,7.389,11.94,0.391,12.0,0.59
980.0,0.201,-0.005,7.389,7.7,-0.879,9.0,0.59
982.0,0.201,-0.004,7.389,12.55,-0.044,13.0,0.58
984.0,0.201,-0.004,7.389,13.48,-1.059,15.0,0.59
986.0,0.201,-0.003,7.389,14.51,-2.041,17.0,0.59
988.0,0.201,-0.003,7.389,11.7,0.186,12.0,0.6
990.0,0.201,-0.002,7.389,6.56,-0.894,8.0,0.61
992.0,0.201,-0.002,7.389,7.45,-0.11,8.0,0.59
994.0,0.2,-0.002,7.389,9.47,0.965,9.0,0.6
996.0,0.2,-0.001,7.389,7.22,-0.252,8.0,0.61
998.0,0.2,-0.001,7.389,10.75,0.317,11.0,0.61
1000.0,0.2,-0.001,7.389,8.12,-1.377,10.0,0.6
1002.0,0.2,-0.001,7.389,10.73,1.164,10.0,0.59
1004.0,0.2,-0.0,7.389,5.74,-1.876,8.0,0.58
1006.0,0.2,-0.001,7.389,9.54,1.034,9.0,0.6
1008.0,0.2,-0.001,7.389,14.47,-0.058,15.0,0.6
1010.0,0.2,-0.0,7.389,7.74,-1.776,10.0,0.6
1012.0,0.2,-0.0,7.389,7.55,-0.92,9.0,0.61
1014.0,0.2,-0.0,7.389,6.48,-1.06,8.0,0.59
1016.0,0.2,-0.0,7.389,10.98,-1.48,13.0,0.61
1018.0,0.2,-0.0,7.389,9.12,-1.394,11.0,0.6
1020.0,0.2,-0.0,7.389,7.14,-0.334,8.0,0.61
1022.0,0.2,-0.0,7.389,10.63,1.169,10.0,0.61
1024.0,0.2,-0.0,7.389,11.38,-0.136,12.0,0.6
1026.0,0.2,-0.0,7.389,10.18,-1.355,12.0,0.59
1028.0,0.2,-0.0,7.389,8.12,-0.471,9.0,0.58
1030.0,0.2,-0.0,7.389,10.12,-2.419,13.0,0.59
1032.0,0.2,-0.0,7.389,10.15,-2.293,13.0,0.61
1034.0,0.2,-0.0,7.389,11.38,-1.015,13.0,0.62
1036.0,0.2,-0.0,7.389,7.11,-3.308,11.0,0.62
1038.0,0.2,-0.0,7.389,10.29,-1.1,12.0,0.62
1040.0,0.201,0.017,6.785,5.43,-0.917,7.0,0.63
1042.0,0.201,-0.003,7.389,6.85,-1.494,9.0,0.63
1044.0,0.201,-0.002,7.389,5.73,0.272,6.0,0.61
1046.0,0.201,-0.002,7.389,6.82,0.341,7.0,0.6
1048.0,0.2,-0.002,7.389,9.15,-1.41,11.0,0.59
1050.0,0.202,0.022,6.595,4.55,-3.046,8.0,0.58
1052.0,0.201,-0.005,7.389,7.71,0.18,8.0,0.59
1054.0,0.201,-0.004,7.389,12.54,0.037,13.0,0.6
1056.0,0.201,-0.003,7.389,7.88,-2.563,11.0,0.61
1058.0,0.201,-0.003,7.389,10.23,-1.237,12.0,0.61
1060.0,0.201,-0.002,7.389,12.49,-0.048,13.0,0.59
1062.0,0.201,-0.002,7.389,7.55,-1.024,9.0,0.59
1064.0,0.201,-0.002,7.389,6.53,-3.006,10.0,0.59
1066.0,0.2,-0.002,7.389,8.98,-1.465,11.0,0.61
1068.0,0.2,-0.001,7.389,11.72,0.225,12.0,0.6
1070.0,0.2,-0.001,7.389,8.92,-0.651,10.0,0.59
1072.0,0.2,-0.001,7.389,10.83,0.192,11.0,0.57
1074.0,0.2,-0.001,7.389,8.59,0.042,9.0,0.59
1076.0,0.2,-0.001,7.389,8.74,-1.757,11.0,0.6
1078.0,0.2,-0.001,7.389,8.28,-0.269,9.0,0.59
1080.0,0.208,0.148,3.561,3.45,-3.11,7.0,0.59
1082.0,0.206,-0.023,7.389,8.83,-1.723,11.0,0.59
1084.0,0.205,-0.019,7.389,11.28,-4.27,16.0,0.59
1086.0,0.23,0.5,0.793,-0.84,-7.373,7.0,0.59
1088.0,0.23,-0.01,5.201,4.66,-1.906,7.0,0.59
1090.0,0.225,-0.09,7.389,8.63,-1.851,11.0,0.6
1092.0,0.222,-0.076,7.389,8.02,-1.55,10.0,0.59
1094.0,0.218,-0.065,7.389,8.03,-1.608,10.0,0.57
1096.0,0.216,-0.055,7.389,11.61,0.026,12.0,0.58
1098.0,0.213,-0.047,7.389,14.54,0.061,15.0,0.6
1100.0,0.211,-0.04,7.389,11.07,-0.435,12.0,0.6
1102.0,0.21,-0.034,7.389,13.45,-0.097,14.0,0.59
1104.0,0.208,-0.029,7.389,12.69,0.178,13.0,0.6
1106.0,0.207,-0.025,7.389,9.7,-0.825,11.0,0.59
1108.0,0.206,-0.021,7.389,9.3,-0.251,10.0,0.59
1110.0,0.205,-0.018,7.389,7.73,0.161,8.0,0.59
1112.0,0.204,-0.015,7.389,8.5,-0.087,9.0,0.58
1114.0,0.205,0.009,6.639,5.35,-2.3,8.0,0.57
1116.0,0.204,-0.014,7.389,9.29,-0.237,10.0,0.6
1118.0,0.203,-0.012,7.389,8.85,-1.623,11.0,0.6
1120.0,0.203,-0.01,7.389,10.81,-0.762,12.0,0.59
1122.0,0.202,-0.009,7.389,11.56,-1.032,13.0,0.58
1124.0,0.202,-0.007,7.389,15.55,-0.968,17.0,0.6
1126.0,0.204,0.035,6.048,4.64,-0.911,6.0,0.59
1128.0,0.203,-0.012,7.389,14.6,2.0,13.0,0.58
1130.0,0.203,-0.01,7.389,9.58,-0.008,10.0,0.58
1132.0,0.202,-0.008,7.389,9.76,0.212,10.0,0.59
1134.0,0.202,-0.007,7.389,7.62,0.065,8.0,0.59
1136.0,0.202,-0.006,7.389,8.05,-2.492,11.0,0.59
1138.0,0.201,-0.005,7.389,10.15,-2.377,13.0,0.59
1140.0,0.201,-0.004,7.389,10.31,0.851,10.0,0.61
1142.0,0.201,-0.004,7.389,8.79,-1.748,11.0,0.59
1144.0,0.201,-0.003,7.389,6.36,-3.166,10.0,0.59
1146.0,0.201,-0.003,7.389,9.73,0.149,10.0,0.58
1148.0,0.201,-0.002,7.389,11.45,-0.092,12.0,0.59
1150.0,0.201,-0.002,7.389,12.49,-0.077,13.0,0.59
1152.0,0.2,-0.002,7.389,10.79,-0.764,12.0,0.59
1154.0,0.2,-0.001,7.389,10.8,-0.687,12.0,0.6
1156.0,0.202,0.034,6.242,4.48,-1.982,7.0,0.61
1158.0,0.202,-0.006,7.389,10.61,0.174,11.0,0.61
1160.0,0.202,-0.005,7.389,8.26,-2.256,11.0,0.6
1162.0,0.201,-0.005,7.389,11.77,-0.739,13.0,0.6
1164.0,0.201,-0.004,7.389,8.5,-1.028,10.0,0.6
1166.0,0.201,-0.003,7.389,7.69,0.101,8.0,0.58
1168.0,0.201,-0.003,7.389,6.32,-3.29,10.0,0.58
1170.0,0.201,-0.002,7.389,4.61,-2.842,8.0,0.61
1172.0,0.201,-0.002,7.389,6.52,-1.909,9.0,0.61
1174.0,0.201,-0.002,7.389,11.38,0.007,12.0,0.62
1176.0,0.2,-0.002,7.389,11.66,0.115,12.0,0.59
1178.0,0.2,-0.001,7.389,9.55,-2.959,13.0,0.6
1180.0,0.2,-0.001,7.389,10.79,-2.619,14.0,0.62
1182.0,0.2,-0.001,7.389,14.45,-0.036,15.0,0.6
1184.0,0.2,-0.001,7.389,11.75,-1.766,14.0,0.6
1186.0,0.2,-0.001,7.389,7.26,-4.324,12.0,0.58
1188.0,0.2,-0.001,7.389,7.65,-2.903,11.0,0.59
1190.0,0.2,-0.001,7.389,11.0,-0.54,12.0,0.59
1192.0,0.2,-0.0,7.389,10.61,0.093,11.0,0.6
1194.0,0.2,-0.0,7.389,7.56,-1.87,10.0,0.61
1196.0,0.208,0.161,3.342,3.28,-5.228,9.0,0.6
1198.0,0.226,0.365,1.33,0.42,-10.216,11.0,0.57
1200.0,0.222,-0.079,7.389,8.91,-1.571,11.0,0.6
1202.0,0.219,-0.067,7.389,5.67,-2.825,9.0,0.6
1204.0,0.231,0.241,2.043,1.46,-3.153,5.0,0.58
1206.0,0.23,-0.018,5.346,4.53,-2.188,7.0,0.56
1208.0,0.226,-0.09,7.389,5.04,-2.587,8.0,0.57
1210.0,0.222,-0.077,7.389,9.72,-2.847,13.0,0.59
1212.0,0.219,-0.066,7.389,6.31,-3.22,10.0,0.59
1214.0,0.22,0.027,5.085,4.41,-1.138,6.0,0.59
1216.0,0.217,-0.06,7.389,5.74,-1.966,8.0,0.56
1218.0,0.219,0.046,4.741,4.43,-1.178,6.0,0.58
1220.0,0.216,-0.058,7.389,9.48,-0.064,10.0,0.59
1222.0,0.217,0.008,5.705,4.45,-4.055,9.0,0.6
1224.0,0.214,-0.05,7.389,11.8,-0.749,13.0,0.59
1226.0,0.212,-0.043,7.389,5.82,-4.773,11.0,0.58
1228.0,0.21,-0.036,7.389,9.92,-2.6,13.0,0.6
1230.0,0.209,-0.031,7.389,8.24,-3.193,12.0,0.61
1232.0,0.207,-0.026,7.389,11.69,-0.773,13.0,0.61
1234.0,0.206,-0.022,7.389,9.56,0.131,10.0,0.61
1236.0,0.205,-0.019,7.389,8.73,0.231,9.0,0.6
1238.0,0.205,-0.016,7.389,8.61,0.006,9.0,0.58
1240.0,0.204,-0.014,7.389,8.08,-1.539,10.0,0.58
1242.0,0.203,-0.012,7.389,6.08,-3.484,10.0,0.59
1244.0,0.203,-0.01,7.389,14.5,-0.068,15.0,0.59
1246.0,0.202,-0.008,7.389,8.16,-1.33,10.0,0.6
1248.0,0.202,-0.007,7.389,10.7,0.187,11.0,0.6
1250.0,0.202,-0.006,7.389,9.13,-1.414,11.0,0.59
1252.0,0.201,-0.005,7.389,7.38,-1.176,9.0,0.59
1254.0,0.201,-0.004,7.389,12.81,0.217,13.0,0.58
1256.0,0.201,-0.003,7.389,5.6,0.086,6.0,0.6
1258.0,0.202,0.019,6.633,4.8,-1.659,7.0,0.61
1260.0,0.202,-0.006,7.389,7.01,-2.517,10.0,0.6
1262.0,0.201,-0.005,7.389,8.53,-3.051,12.0,0.58
1264.0,0.201,-0.004,7.389,12.72,-0.899,14.0,0.58
1266.0,0.201,-0.004,7.389,7.04,-3.532,11.0,0.59
1268.0,0.201,-0.003,7.389,9.81,-0.786,11.0,0.58
1270.0,0.201,-0.003,7.389,7.53,-1.06,9.0,0.58
1272.0,0.201,-0.002,7.389,7.41,-0.15,8.0,0.59
1274.0,0.201,-0.002,7.389,16.53,1.008,16.0,0.6
1276.0,0.207,0.131,3.845,3.77,-3.759,8.0,0.59
1278.0,0.206,-0.021,7.389,7.79,0.227,8.0,0.59
1280.0,0.205,-0.018,7.389,7.61,1.016,7.0,0.58
1282.0,0.204,-0.015,7.389,10.6,-0.034,11.0,0.57
1284.0,0.207,0.059,5.212,4.41,-3.132,8.0,0.59
1286.0,0.206,-0.022,7.389,12.77,1.277,12.0,0.6
1288.0,0.205,-0.019,7.389,6.07,-1.421,8.0,0.6
1290.0,0.205,-0.016,7.389,14.49,0.911,14.0,0.58
1292.0,0.204,-0.014,7.389,11.83,-0.643,13.0,0.61
1294.0,0.203,-0.012,7.389,12.88,-0.662,14.0,0.59
1296.0,0.203,-0.01,7.389,9.62,-1.045,11.0,0.57
1298.0,0.202,-0.008,7.389,10.15,-2.555,13.0,0.56
1300.0,0.202,-0.007,7.389,10.34,-2.298,13.0,0.57
1302.0,0.202,-0.006,7.389,10.46,-0.122,11.0,0.58
1304.0,0.201,-0.005,7.389,10.06,-2.504,13.0,0.59
1306.0,0.201,-0.004,7.389,15.48,-1.036,17.0,0.6
1308.0,0.201,-0.004,7.389,10.4,-1.11,12.0,0.6
1310.0,0.201,-0.003,7.389,8.13,-1.448,10.0,0.58
1312.0,0.201,-0.003,7.389,9.78,-2.841,13.0,0.58
1314.0,0.201,-0.002,7.389,12.35,-0.232,13.0,0.58
1316.0,0.201,-0.002,7.389,8.25,-1.327,10.0,0.59
1318.0,0.2,-0.002,7.389,9.99,-0.637,11.0,0.57
1320.0,0.2,-0.001,7.389,10.71,1.056,10.0,0.57
1322.0,0.2,-0.001,7.389,10.59,-0.025,11.0,0.58
1324.0,0.2,-0.001,7.389,6.0,-4.531,11.0,0.59
1326.0,0.2,-0.0,7.389,5.21,-3.385,9.0,0.58
1328.0,0.206,0.107,4.442,2.55,-4.048,7.0,0.58
1330.0,0.205,-0.017,7.389,7.17,-3.338,11.0,0.6
1332.0,0.204,-0.014,7.389,10.35,-0.107,11.0,0.61
1334.0,0.203,-0.012,7.389,10.1,-0.494,11.0,0.58
1336.0,0.203,-0.01,7.389,14.46,0.799,14.0,0.57
1338.0,0.202,-0.009,7.389,12.91,-0.765,14.0,0.57
1340.0,0.202,-0.007,7.389,9.12,-1.48,11.0,0.58
1342.0,0.202,-0.006,7.389,5.87,-2.661,9.0,0.59
1344.0,0.202,-0.005,7.389,10.15,-2.346,13.0,0.6
1346.0,0.201,-0.005,7.389,7.4,-1.027,9.0,0.61
1348.0,0.201,-0.004,7.389,10.93,-1.485,13.0,0.62
1350.0,0.201,-0.003,7.389,10.42,-2.008,13.0,0.61
1352.0,0.201,-0.003,7.389,10.12,-0.326,11.0,0.61
1354.0,0.201,-0.002,7.389,9.25,-1.275,11.0,0.59
1356.0,0.204,0.068,5.223,4.66,-4.986,10.0,0.57
1358.0,0.217,0.25,2.155,1.83,-1.791,4.0,0.58
1360.0,0.214,-0.05,7.389,10.69,0.044,11.0,0.57
1362.0,0.212,-0.042,7.389,7.9,-0.727,9.0,0.58
1364.0,0.21,-0.036,7.389,8.34,-3.204,12.0,0.59
1366.0,0.209,-0.031,7.389,14.48,0.938,14.0,0.59
1368.0,0.207,-0.026,7.389,10.39,-0.186,11.0,0.58
1370.0,0.206,-0.022,7.389,14.4,-2.139,17.0,0.59
1372.0,0.205,-0.019,7.389,7.34,-3.172,11.0,0.6
1374.0,0.214,0.177,2.947,2.87,-3.635,7.0,0.6
1376.0,0.212,-0.043,7.389,8.76,-0.713,10.0,0.61
1378.0,0.21,-0.036,7.389,9.57,-1.939,12.0,0.6
1380.0,0.209,-0.031,7.389,13.52,2.0,12.0,0.6
1382.0,0.223,0.28,1.848,1.38,-5.255,7.0,0.57
1384.0,0.219,-0.068,7.389,5.89,-1.793,8.0,0.56
1386.0,0.216,-0.058,7.389,12.0,-0.576,13.0,0.59
1388.0,0.214,-0.049,7.389,10.71,-0.89,12.0,0.58
1390.0,0.212,-0.042,7.389,6.61,-3.983,11.0,0.58
1392.0,0.21,-0.036,7.389,7.61,0.023,8.0,0.58
1394.0,0.209,-0.03,7.389,5.17,-2.402,8.0,0.59
1396.0,0.207,-0.026,7.389,16.9,0.393,17.0,0.6
1398.0,0.206,-0.022,7.389,8.79,-3.722,13.0,0.6
1400.0,0.212,0.113,3.928,3.84,-2.755,7.0,0.58
1402.0,0.218,0.112,3.732,3.22,-1.341,5.0,0.59
1404.0,0.215,-0.052,7.389,5.75,-1.824,8.0,0.58
1406.0,0.213,-0.045,7.389,6.95,-3.66,11.0,0.58
1408.0,0.211,-0.038,7.389,9.29,0.723,9.0,0.59
1410.0,0.209,-0.032,7.389,9.05,-0.49,10.0,0.59
1412.0,0.215,0.107,3.921,3.63,-2.946,7.0,0.58
1414.0,0.212,-0.043,7.389,8.02,-2.639,11.0,0.57
1416.0,0.212,-0.004,6.347,4.84,-3.72,9.0,0.59
1418.0,0.223,0.218,2.335,2.02,-4.538,7.0,0.59
1420.0,0.22,-0.069,7.389,9.81,-0.73,11.0,0.59
1422.0,0.217,-0.058,7.389,4.95,-0.618,6.0,0.59
1424.0,0.214,-0.05,7.389,5.76,-2.842,9.0,0.58
1426.0,0.212,-0.042,7.389,6.12,-3.468,10.0,0.58
1428.0,0.21,-0.036,7.389,9.8,-0.695,11.0,0.6
1430.0,0.209,-0.031,7.389,9.59,0.153,10.0,0.61
1432.0,0.207,-0.026,7.389,6.82,-4.606,12.0,0.62
1434.0,0.206,-0.022,7.389,12.68,0.261,13.0,0.62
1436.0,0.205,-0.019,7.389,8.65,1.149,8.0,0.6
1438.0,0.205,-0.016,7.389,7.52,-1.051,9.0,0.59
1440.0,0.204,-0.014,7.389,9.32,0.72,9.0,0.58
1442.0,0.203,-0.011,7.389,5.28,-0.315,6.0,0.58
1444.0,0.203,-0.01,7.389,8.56,0.011,9.0,0.59
1446.0,0.202,-0.008,7.389,10.76,0.102,11.0,0.57
1448.0,0.202,-0.007,7.389,7.72,-0.989,9.0,0.56
1450.0,0.202,-0.006,7.389,8.6,0.02,9.0,0.58
1452.0,0.201,-0.005,7.389,6.61,-2.979,10.0,0.58
1454.0,0.201,-0.004,7.389,8.23,-2.435,11.0,0.57
1456.0,0.201,-0.004,7.389,8.71,0.065,9.0,0.57
1458.0,0.201,-0.003,7.389,5.51,-2.05,8.0,0.59
1460.0,0.212,0.212,2.651,2.06,-3.44,6.0,0.6
1462.0,0.21,-0.035,7.389,12.31,-1.183,14.0,0.6
1464.0,0.208,-0.029,7.389,11.6,0.112,12.0,0.6
1466.0,0.207,-0.025,7.389,10.27,-2.125,13.0,0.62
1468.0,0.206,-0.021,7.389,11.59,0.114,12.0,0.6
1470.0,0.205,-0.018,7.389,9.76,0.133,10.0,0.57
1472.0,0.204,-0.015,7.389,10.72,0.123,11.0,0.58
1474.0,0.204,-0.013,7.389,11.35,-0.209,12.0,0.59
1476.0,0.203,-0.011,7.389,14.59,0.092,15.0,0.6
1478.0,0.203,-0.009,7.389,5.74,-1.796,8.0,0.59
1480.0,0.202,-0.008,7.389,12.05,-0.568,13.0,0.58
1482.0,0.202,-0.007,7.389,5.85,-2.796,9.0,0.57
1484.0,0.202,-0.006,7.389,6.04,-1.579,8.0,0.58
1486.0,0.201,-0.005,7.389,11.55,1.054,11.0,0.6
1488.0,0.201,-0.004,7.389,8.84,-2.63,12.0,0.61
1490.0,0.201,-0.004,7.389,11.52,2.0,10.0,0.6
1492.0,0.201,-0.003,7.389,7.77,-0.71,9.0,0.6
1494.0,0.201,-0.003,7.389,13.56,-0.906,15.0,0.61
1496.0,0.201,-0.002,7.389,10.51,-1.005,12.0,0.6
1498.0,0.201,-0.002,7.389,6.55,-2.955,10.0,0.6
1500.0,0.2,-0.002,7.389,7.33,-3.202,11.0,0.59
1502.0,0.2,-0.001,7.389,8.69,-1.914,11.0,0.58
1504.0,0.2,-0.001,7.389,8.01,-3.553,12.0,0.59
1506.0,0.2,-0.001,7.389,10.69,-2.764,14.0,0.61
1508.0,0.2,-0.001,7.389,9.79,-2.778,13.0,0.59
1510.0,0.2,-0.001,7.389,8.6,-0.932,10.0,0.59
1512.0,0.2,-0.001,7.389,10.1,-1.418,12.0,0.6
1514.0,0.2,-0.001,7.389,13.22,-0.377,14.0,0.58
1516.0,0.211,0.224,2.514,2.13,-3.512,6.0,0.57
1518.0,0.21,-0.034,7.389,8.86,-0.763,10.0,0.58
1520.0,0.208,-0.029,7.389,13.48,-0.151,14.0,0.57
1522.0,0.207,-0.025,7.389,15.72,0.101,16.0,0.58
1524.0,0.206,-0.021,7.389,12.78,0.147,13.0,0.57
1526.0,0.205,-0.018,7.389,13.64,0.081,14.0,0.59
1528.0,0.204,-0.015,7.389,12.81,0.275,13.0,0.59
1530.0,0.204,-0.013,7.389,9.86,-1.665,12.0,0.6
1532.0,0.203,-0.011,7.389,8.8,-3.792,13.0,0.58
1534.0,0.203,-0.009,7.389,8.26,-3.375,12.0,0.57
1536.0,0.202,-0.008,7.389,5.73,-1.857,8.0,0.58
1538.0,0.202,-0.007,7.389,11.23,-0.329,12.0,0.59
1540.0,0.202,-0.006,7.389,11.2,-2.299,14.0,0.6
1542.0,0.201,-0.005,7.389,8.6,-0.872,10.0,0.61
1544.0,0.206,0.093,4.605,3.66,-4.876,9.0,0.59
1546.0,0.208,0.048,5.395,3.91,-2.636,7.0,0.59
1548.0,0.207,-0.025,7.389,8.64,1.036,8.0,0.58
1550.0,0.206,-0.022,7.389,10.45,-0.071,11.0,0.6
1552.0,0.205,-0.018,7.389,7.39,-2.165,10.0,0.59
1554.0,0.204,-0.015,7.389,6.79,-1.813,9.0,0.58
1556.0,0.218,0.264,2.109,1.07,-5.526,7.0,0.58
1558.0,0.215,-0.053,7.389,15.46,0.974,15.0,0.6
1560.0,0.213,-0.045,7.389,8.37,-1.027,10.0,0.62
1562.0,0.211,-0.038,7.389,8.67,-0.869,10.0,0.59
1564.0,0.209,-0.032,7.389,12.58,2.0,11.0,0.58
1566.0,0.208,-0.028,7.389,11.36,-1.173,13.0,0.59
1568.0,0.207,-0.023,7.389,9.69,-1.919,12.0,0.58
1570.0,0.206,-0.02,7.389,14.71,0.024,15.0,0.56
1572.0,0.205,-0.017,7.389,14.01,0.318,14.0,0.56
1574.0,0.204,-0.014,7.389,14.83,-1.778,17.0,0.58
1576.0,0.203,-0.012,7.389,9.64,-2.006,12.0,0.57
1578.0,0.203,-0.01,7.389,10.68,-0.922,12.0,0.58
1580.0,0.203,-0.009,7.389,11.22,-0.288,12.0,0.6
1582.0,0.202,-0.007,7.389,8.16,-2.338,11.0,0.6
1584.0,0.202,-0.006,7.389,12.57,-0.041,13.0,0.58
1586.0,0.202,-0.005,7.389,9.69,0.05,10.0,0.57
1588.0,0.201,-0.005,7.389,10.61,0.033,11.0,0.59
1590.0,0.217,0.317,1.68,0.92,-2.645,4.0,0.59
1592.0,0.218,0.01,5.62,3.81,-1.786,6.0,0.58
1594.0,0.215,-0.053,7.389,11.47,2.0,10.0,0.61
1596.0,0.213,-0.045,7.389,7.78,-2.711,11.0,0.6
1598.0,0.215,0.053,4.887,3.29,-5.288,9.0,0.58
1600.0,0.213,-0.046,7.389,9.81,0.143,10.0,0.57
1602.0,0.211,-0.039,7.389,6.49,-0.162,7.0,0.57
1604.0,0.209,-0.033,7.389,6.36,-1.213,8.0,0.59
1606.0,0.208,-0.028,7.389,6.21,-0.328,7.0,0.59
1608.0,0.207,-0.024,7.389,6.82,-1.776,9.0,0.58
1610.0,0.215,0.168,3.031,2.87,-3.768,7.0,0.57
1612.0,0.242,0.534,0.689,-1.39,-6.999,6.0,0.58
1614.0,0.236,-0.126,7.389,7.44,-2.023,10.0,0.61
1616.0,0.23,-0.107,7.389,9.13,0.844,9.0,0.64
1618.0,0.226,-0.091,7.389,7.97,-1.48,10.0,0.61
1620.0,0.222,-0.077,7.389,7.58,0.054,8.0,0.59
1622.0,0.219,-0.066,7.389,11.89,-0.61,13.0,0.6
1624.0,0.216,-0.056,7.389,7.29,-1.252,9.0,0.59
1626.0,0.213,-0.047,7.389,11.2,-1.465,13.0,0.57
